location_id,table_title,table_title_ko,category,category_ko,budget,mid_range,luxury
502,Jordan on a Budget,요르단의 예산,Alcohol,주류,3 - 9,7 - 20,14 - 41
503,Amman on a Budget,암만의 예산,Accommodation,숙박,20,49,112
503,Amman on a Budget,암만의 예산,Local Transportation,지역 교통,10,24,48
503,Amman on a Budget,암만의 예산,Food,음식,24,58,138
503,Amman on a Budget,암만의 예산,Entertainment,엔터테인먼트,14,32,65
503,Amman on a Budget,암만의 예산,Alcohol,주류,3 - 9,7 - 21,13 - 39
504,Aqaba on a Budget,아카바의 예산,Accommodation,숙박,26,59,107
504,Aqaba on a Budget,아카바의 예산,Local Transportation,지역 교통,11,24,45
504,Aqaba on a Budget,아카바의 예산,Food,음식,32,73,137
504,Aqaba on a Budget,아카바의 예산,Entertainment,엔터테인먼트,24,54,103
504,Aqaba on a Budget,아카바의 예산,Alcohol,주류,2 - 6,5 - 14,9 - 26
505,Petra on a Budget,페트라의 예산,Accommodation,숙박,25,59,118
505,Petra on a Budget,페트라의 예산,Local Transportation,지역 교통,10,23,45
505,Petra on a Budget,페트라의 예산,Food,음식,27,66,151
505,Petra on a Budget,페트라의 예산,Entertainment,엔터테인먼트,20,47,94
505,Petra on a Budget,페트라의 예산,Alcohol,주류,3 - 10,8 - 23,15 - 46
506,Kazakhstan on a Budget,카자흐스탄의 예산,Accommodation,숙박,2.84,6.61,13
506,Kazakhstan on a Budget,카자흐스탄의 예산,Local Transportation,지역 교통,0.22,0.64,2.06
506,Kazakhstan on a Budget,카자흐스탄의 예산,Food,음식,3.82,8.87,18
506,Kazakhstan on a Budget,카자흐스탄의 예산,Entertainment,엔터테인먼트,0.96,2.40,5.90
506,Kazakhstan on a Budget,카자흐스탄의 예산,Alcohol,주류,2 - 6,6 - 17,16 - 47
507,Kenya on a Budget,케냐의 예산,Accommodation,숙박,14,33,68
507,Kenya on a Budget,케냐의 예산,Local Transportation,지역 교통,14,33,78
507,Kenya on a Budget,케냐의 예산,Food,음식,18,46,109
507,Kenya on a Budget,케냐의 예산,Entertainment,엔터테인먼트,16,39,96
507,Kenya on a Budget,케냐의 예산,Alcohol,주류,3 - 10,8 - 25,20 - 61
508,Diani on a Budget,다이아니의 예산,Accommodation,숙박,10,23,44
508,Diani on a Budget,다이아니의 예산,Local Transportation,지역 교통,6,15,28
508,Diani on a Budget,다이아니의 예산,Food,음식,15,35,67
508,Diani on a Budget,다이아니의 예산,Entertainment,엔터테인먼트,6,15,28
508,Diani on a Budget,다이아니의 예산,Alcohol,주류,2 - 6,4 - 13,8 - 25
509,Lake Nakuru on a Budget,나크 루 호수의 예산,Accommodation,숙박,19,44,85
509,Lake Nakuru on a Budget,나크 루 호수의 예산,Local Transportation,지역 교통,18,41,78
509,Lake Nakuru on a Budget,나크 루 호수의 예산,Food,음식,31,70,135
509,Lake Nakuru on a Budget,나크 루 호수의 예산,Entertainment,엔터테인먼트,16,36,69
509,Lake Nakuru on a Budget,나크 루 호수의 예산,Alcohol,주류,2 - 5,4 - 11,7 - 22
510,Masai Mara on a Budget,마사이 마라의 예산,Accommodation,숙박,16,37,71
510,Masai Mara on a Budget,마사이 마라의 예산,Local Transportation,지역 교통,21,47,91
510,Masai Mara on a Budget,마사이 마라의 예산,Food,음식,25,57,109
510,Masai Mara on a Budget,마사이 마라의 예산,Entertainment,엔터테인먼트,26,60,115
510,Masai Mara on a Budget,마사이 마라의 예산,Alcohol,주류,6 - 17,13 - 40,25 - 76
511,Mombasa on a Budget,몸바사의 예산,Accommodation,숙박,11,26,50
511,Mombasa on a Budget,몸바사의 예산,Local Transportation,지역 교통,8,18,34
511,Mombasa on a Budget,몸바사의 예산,Food,음식,18,41,79
511,Mombasa on a Budget,몸바사의 예산,Entertainment,엔터테인먼트,8,18,34
511,Mombasa on a Budget,몸바사의 예산,Alcohol,주류,2 - 6,4 - 13,8 - 25
512,Nairobi on a Budget,나이로비의 예산,Accommodation,숙박,10,12,15
512,Nairobi on a Budget,나이로비의 예산,Local Transportation,지역 교통,4,11,25
512,Nairobi on a Budget,나이로비의 예산,Food,음식,11,13,17
512,Nairobi on a Budget,나이로비의 예산,Entertainment,엔터테인먼트,17,46,129
512,Nairobi on a Budget,나이로비의 예산,Alcohol,주류,3 - 9,8 - 24,20 - 61
513,Tsavo National Park on a Budget,차보 국립공원의 예산,Accommodation,숙박,14,33,62
513,Tsavo National Park on a Budget,차보 국립공원의 예산,Local Transportation,지역 교통,26,60,114
513,Tsavo National Park on a Budget,차보 국립공원의 예산,Food,음식,29,65,125
513,Tsavo National Park on a Budget,차보 국립공원의 예산,Entertainment,엔터테인먼트,20,47,89
513,Tsavo National Park on a Budget,차보 국립공원의 예산,Alcohol,주류,5 - 15,12 - 35,22 - 66
514,Laos on a Budget,라오스의 예산,Accommodation,숙박,3.21,7.97,19
514,Laos on a Budget,라오스의 예산,Local Transportation,지역 교통,0.78,1.97,4.95
514,Laos on a Budget,라오스의 예산,Food,음식,4.70,11,26
514,Laos on a Budget,라오스의 예산,Entertainment,엔터테인먼트,1.07,3.09,9.92
514,Laos on a Budget,라오스의 예산,Alcohol,주류,0 - 1,1 - 3,2 - 6
515,Luang Prabang on a Budget,루앙프라방의 예산,Accommodation,숙박,2,6,14
515,Luang Prabang on a Budget,루앙프라방의 예산,Local Transportation,지역 교통,1,2,5
515,Luang Prabang on a Budget,루앙프라방의 예산,Food,음식,4,9,21
515,Luang Prabang on a Budget,루앙프라방의 예산,Entertainment,엔터테인먼트,1,3,10
515,Luang Prabang on a Budget,루앙프라방의 예산,Alcohol,주류,0 - 1,1 - 3,2 - 7
516,Vang Vieng on a Budget,방비엥의 예산,Accommodation,숙박,2,4,10
516,Vang Vieng on a Budget,방비엥의 예산,Local Transportation,지역 교통,1,3,10
516,Vang Vieng on a Budget,방비엥의 예산,Food,음식,4,11,25
516,Vang Vieng on a Budget,방비엥의 예산,Entertainment,엔터테인먼트,2,5,13
516,Vang Vieng on a Budget,방비엥의 예산,Alcohol,주류,0 - 1,1 - 2,1 - 4
517,Vientiane on a Budget,비엔티안의 예산,Accommodation,숙박,3,8,20
517,Vientiane on a Budget,비엔티안의 예산,Local Transportation,지역 교통,1,2,5
517,Vientiane on a Budget,비엔티안의 예산,Food,음식,5,12,26
517,Vientiane on a Budget,비엔티안의 예산,Entertainment,엔터테인먼트,1,4,10
517,Vientiane on a Budget,비엔티안의 예산,Alcohol,주류,0 - 1,1 - 3,2 - 6
518,Latvia on a Budget,라트비아의 예산,Accommodation,숙박,24,59,136
518,Latvia on a Budget,라트비아의 예산,Local Transportation,지역 교통,8.50,22,62
518,Latvia on a Budget,라트비아의 예산,Food,음식,26,66,159
518,Latvia on a Budget,라트비아의 예산,Entertainment,엔터테인먼트,6.56,17,44
518,Latvia on a Budget,라트비아의 예산,Alcohol,주류,4 - 13,11 - 33,25 - 76
519,Cesis on a Budget,체시스의 예산,Accommodation,숙박,24,55,108
519,Cesis on a Budget,체시스의 예산,Local Transportation,지역 교통,15,35,67
519,Cesis on a Budget,체시스의 예산,Food,음식,37,83,156
519,Cesis on a Budget,체시스의 예산,Entertainment,엔터테인먼트,8,19,37
519,Cesis on a Budget,체시스의 예산,Alcohol,주류,4 - 13,10 - 30,19 - 58
520,Riga on a Budget,리가의 예산,Accommodation,숙박,25,60,144
520,Riga on a Budget,리가의 예산,Local Transportation,지역 교통,4,11,33
520,Riga on a Budget,리가의 예산,Food,음식,26,66,167
520,Riga on a Budget,리가의 예산,Entertainment,엔터테인먼트,6,16,45
520,Riga on a Budget,리가의 예산,Alcohol,주류,5 - 14,12 - 35,28 - 83
521,Lebanon on a Budget,레바논의 예산,Accommodation,숙박,0.55,1.26,2.47
521,Lebanon on a Budget,레바논의 예산,Local Transportation,지역 교통,0.19,0.44,0.83
521,Lebanon on a Budget,레바논의 예산,Food,음식,0.52,1.18,2.22
521,Lebanon on a Budget,레바논의 예산,Entertainment,엔터테인먼트,0.11,0.26,0.54
521,Lebanon on a Budget,레바논의 예산,Alcohol,주류,0 - 0,0 - 0,0 - 1
522,Beirut on a Budget,베르의 예산,Accommodation,숙박,1,1,2
522,Beirut on a Budget,베르의 예산,Local Transportation,지역 교통,0,0,1
522,Beirut on a Budget,베르의 예산,Food,음식,1,1,2
522,Beirut on a Budget,베르의 예산,Entertainment,엔터테인먼트,0,0,1
522,Beirut on a Budget,베르의 예산,Alcohol,주류,0 - 0,0 - 0,0 - 1
523,Lesotho on a Budget,레소토의 예산,Accommodation,숙박,10,23,44
523,Lesotho on a Budget,레소토의 예산,Local Transportation,지역 교통,4.51,10,20
523,Lesotho on a Budget,레소토의 예산,Food,음식,21,48,93
523,Lesotho on a Budget,레소토의 예산,Entertainment,엔터테인먼트,6.86,16,30
523,Lesotho on a Budget,레소토의 예산,Alcohol,주류,1 - 3,2 - 7,4 - 13
524,Liechtenstein on a Budget,리히텐슈타인의 예산,Accommodation,숙박,65,148,282
524,Liechtenstein on a Budget,리히텐슈타인의 예산,Local Transportation,지역 교통,23,51,98
524,Liechtenstein on a Budget,리히텐슈타인의 예산,Food,음식,60,136,260
524,Liechtenstein on a Budget,리히텐슈타인의 예산,Entertainment,엔터테인먼트,15,35,66
524,Liechtenstein on a Budget,리히텐슈타인의 예산,Alcohol,주류,7 - 20,15 - 46,29 - 88
525,Lithuania on a Budget,리투아니아의 예산,Accommodation,숙박,21,49,96
525,Lithuania on a Budget,리투아니아의 예산,Local Transportation,지역 교통,5.37,13,33
525,Lithuania on a Budget,리투아니아의 예산,Food,음식,26,67,172
525,Lithuania on a Budget,리투아니아의 예산,Entertainment,엔터테인먼트,6.28,16,37
525,Lithuania on a Budget,리투아니아의 예산,Alcohol,주류,3 - 8,7 - 20,16 - 47
526,Kaunas on a Budget,카우 나의 예산,Accommodation,숙박,23,52,93
526,Kaunas on a Budget,카우 나의 예산,Local Transportation,지역 교통,8,19,38
526,Kaunas on a Budget,카우 나의 예산,Food,음식,28,70,176
526,Kaunas on a Budget,카우 나의 예산,Entertainment,엔터테인먼트,9,22,42
526,Kaunas on a Budget,카우 나의 예산,Alcohol,주류,4 - 12,9 - 27,17 - 51
527,Vilnius on a Budget,빌니우스의 예산,Accommodation,숙박,21,49,99
527,Vilnius on a Budget,빌니우스의 예산,Local Transportation,지역 교통,4,9,22
527,Vilnius on a Budget,빌니우스의 예산,Food,음식,31,78,193
527,Vilnius on a Budget,빌니우스의 예산,Entertainment,엔터테인먼트,5,11,26
527,Vilnius on a Budget,빌니우스의 예산,Alcohol,주류,2 - 5,4 - 11,7 - 21
528,Luxembourg on a Budget,룩셈부르크의 예산,Accommodation,숙박,45,104,202
528,Luxembourg on a Budget,룩셈부르크의 예산,Local Transportation,지역 교통,6.09,15,34
528,Luxembourg on a Budget,룩셈부르크의 예산,Food,음식,67,155,307
528,Luxembourg on a Budget,룩셈부르크의 예산,Entertainment,엔터테인먼트,5.49,13,25
528,Luxembourg on a Budget,룩셈부르크의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 39
529,Macao on a Budget,마카오의 예산,Accommodation,숙박,114,114,114
529,Macao on a Budget,마카오의 예산,Local Transportation,지역 교통,0.46,0.58,0.82
529,Macao on a Budget,마카오의 예산,Food,음식,14,35,82
529,Macao on a Budget,마카오의 예산,Entertainment,엔터테인먼트,4.26,11,31
530,Madagascar on a Budget,마다가스카르의 예산,Accommodation,숙박,15,36,76
530,Madagascar on a Budget,마다가스카르의 예산,Local Transportation,지역 교통,6.21,14,28
530,Madagascar on a Budget,마다가스카르의 예산,Food,음식,22,52,107
530,Madagascar on a Budget,마다가스카르의 예산,Entertainment,엔터테인먼트,7.65,18,39
530,Madagascar on a Budget,마다가스카르의 예산,Alcohol,주류,2 - 6,5 - 14,10 - 30
531,Antananarivo on a Budget,안타니아 나리 보의 예산,Accommodation,숙박,12,30,69
531,Antananarivo on a Budget,안타니아 나리 보의 예산,Local Transportation,지역 교통,6,14,27
531,Antananarivo on a Budget,안타니아 나리 보의 예산,Food,음식,21,50,110
531,Antananarivo on a Budget,안타니아 나리 보의 예산,Entertainment,엔터테인먼트,10,24,61
531,Antananarivo on a Budget,안타니아 나리 보의 예산,Alcohol,주류,2 - 6,5 - 15,11 - 32
532,Antsiranana on a Budget,앙시라나의 예산,Accommodation,숙박,20,43,65
532,Antsiranana on a Budget,앙시라나의 예산,Local Transportation,지역 교통,6,14,28
532,Antsiranana on a Budget,앙시라나의 예산,Food,음식,27,61,121
532,Antsiranana on a Budget,앙시라나의 예산,Entertainment,엔터테인먼트,8,19,37
532,Antsiranana on a Budget,앙시라나의 예산,Alcohol,주류,2 - 7,5 - 15,10 - 31
533,Malawi on a Budget,말라위의 예산,Accommodation,숙박,6.21,14,27
533,Malawi on a Budget,말라위의 예산,Local Transportation,지역 교통,5.54,13,24
533,Malawi on a Budget,말라위의 예산,Food,음식,7.42,17,34
533,Malawi on a Budget,말라위의 예산,Entertainment,엔터테인먼트,6.14,14,27
533,Malawi on a Budget,말라위의 예산,Alcohol,주류,1 - 4,3 - 9,5 - 16
534,Malaysia on a Budget,말레이시아의 예산,Accommodation,숙박,16,46,148
534,Malaysia on a Budget,말레이시아의 예산,Local Transportation,지역 교통,4.62,13,42
534,Malaysia on a Budget,말레이시아의 예산,Food,음식,12,32,94
534,Malaysia on a Budget,말레이시아의 예산,Entertainment,엔터테인먼트,9.32,26,82
534,Malaysia on a Budget,말레이시아의 예산,Alcohol,주류,2 - 7,6 - 18,15 - 45
535,Johor Bahru on a Budget,요호 바루의 예산,Accommodation,숙박,17,40,75
535,Johor Bahru on a Budget,요호 바루의 예산,Local Transportation,지역 교통,6,13,24
535,Johor Bahru on a Budget,요호 바루의 예산,Food,음식,7,16,31
535,Johor Bahru on a Budget,요호 바루의 예산,Entertainment,엔터테인먼트,3,8,15
535,Johor Bahru on a Budget,요호 바루의 예산,Alcohol,주류,1 - 3,3 - 8,5 - 15
536,Kota Kinabalu on a Budget,코타 키나발루의 예산,Accommodation,숙박,8,20,46
536,Kota Kinabalu on a Budget,코타 키나발루의 예산,Local Transportation,지역 교통,10,25,64
536,Kota Kinabalu on a Budget,코타 키나발루의 예산,Food,음식,12,30,68
536,Kota Kinabalu on a Budget,코타 키나발루의 예산,Entertainment,엔터테인먼트,3,6,12
536,Kota Kinabalu on a Budget,코타 키나발루의 예산,Alcohol,주류,2 - 5,4 - 11,7 - 20
537,Kuala Lumpur on a Budget,쿠알라 룸푸르의 예산,Accommodation,숙박,14,41,130
537,Kuala Lumpur on a Budget,쿠알라 룸푸르의 예산,Local Transportation,지역 교통,2,7,23
537,Kuala Lumpur on a Budget,쿠알라 룸푸르의 예산,Food,음식,11,29,85
537,Kuala Lumpur on a Budget,쿠알라 룸푸르의 예산,Entertainment,엔터테인먼트,6,15,42
537,Kuala Lumpur on a Budget,쿠알라 룸푸르의 예산,Alcohol,주류,1 - 4,3 - 10,6 - 19
538,Melaka on a Budget,멜라 카의 예산,Accommodation,숙박,4,9,18
538,Melaka on a Budget,멜라 카의 예산,Local Transportation,지역 교통,1,2,6
538,Melaka on a Budget,멜라 카의 예산,Food,음식,8,20,46
538,Melaka on a Budget,멜라 카의 예산,Entertainment,엔터테인먼트,2,4,9
538,Melaka on a Budget,멜라 카의 예산,Alcohol,주류,3 - 9,4 - 12,6 - 18
539,Penang on a Budget,페낭의 예산,Accommodation,숙박,21,55,155
539,Penang on a Budget,페낭의 예산,Local Transportation,지역 교통,5,14,40
539,Penang on a Budget,페낭의 예산,Food,음식,24,64,181
539,Penang on a Budget,페낭의 예산,Entertainment,엔터테인먼트,22,55,132
539,Penang on a Budget,페낭의 예산,Alcohol,주류,4 - 11,9 - 26,17 - 50
540,Sandakan on a Budget,샌드위치의 예산,Accommodation,숙박,10,22,42
540,Sandakan on a Budget,샌드위치의 예산,Local Transportation,지역 교통,16,37,67
540,Sandakan on a Budget,샌드위치의 예산,Food,음식,16,36,67
540,Sandakan on a Budget,샌드위치의 예산,Entertainment,엔터테인먼트,4,8,16
540,Sandakan on a Budget,샌드위치의 예산,Alcohol,주류,2 - 5,4 - 11,7 - 21
541,Tanah Rata on a Budget,평평한 땅의 예산,Accommodation,숙박,29,75,209
541,Tanah Rata on a Budget,평평한 땅의 예산,Local Transportation,지역 교통,12,33,93
541,Tanah Rata on a Budget,평평한 땅의 예산,Food,음식,33,87,241
541,Tanah Rata on a Budget,평평한 땅의 예산,Entertainment,엔터테인먼트,17,39,72
541,Tanah Rata on a Budget,평평한 땅의 예산,Alcohol,주류,5 - 14,11 - 32,20 - 61
542,the Maldives on a Budget,the Maldives의 예산,Accommodation,숙박,48,118,274
542,the Maldives on a Budget,the Maldives의 예산,Local Transportation,지역 교통,55,139,343
542,the Maldives on a Budget,the Maldives의 예산,Food,음식,50,129,338
542,the Maldives on a Budget,the Maldives의 예산,Entertainment,엔터테인먼트,16,37,70
542,the Maldives on a Budget,the Maldives의 예산,Alcohol,주류,7 - 22,17 - 51,33 - 98
543,Mali on a Budget,말리의 예산,Accommodation,숙박,14,16,21
543,Mali on a Budget,말리의 예산,Local Transportation,지역 교통,1.54,4.04,11
543,Mali on a Budget,말리의 예산,Food,음식,7.04,16,32
543,Mali on a Budget,말리의 예산,Entertainment,엔터테인먼트,3.90,10,29
543,Mali on a Budget,말리의 예산,Alcohol,주류,0 - 1,1 - 3,2 - 5
544,Malta on a Budget,몰타의 예산,Accommodation,숙박,34,76,142
544,Malta on a Budget,몰타의 예산,Local Transportation,지역 교통,11,27,69
544,Malta on a Budget,몰타의 예산,Food,음식,27,63,121
544,Malta on a Budget,몰타의 예산,Entertainment,엔터테인먼트,13,31,73
544,Malta on a Budget,몰타의 예산,Alcohol,주류,4 - 12,9 - 28,19 - 58
545,Valletta on a Budget,발레타의 예산,Accommodation,숙박,34,76,142
545,Valletta on a Budget,발레타의 예산,Local Transportation,지역 교통,11,28,71
545,Valletta on a Budget,발레타의 예산,Food,음식,29,66,127
545,Valletta on a Budget,발레타의 예산,Entertainment,엔터테인먼트,13,31,73
545,Valletta on a Budget,발레타의 예산,Alcohol,주류,4 - 12,9 - 28,19 - 58
546,Martinique on a Budget,마르티니크의 예산,Accommodation,숙박,42,97,185
546,Martinique on a Budget,마르티니크의 예산,Local Transportation,지역 교통,6.95,16,32
546,Martinique on a Budget,마르티니크의 예산,Food,음식,51,118,233
546,Martinique on a Budget,마르티니크의 예산,Entertainment,엔터테인먼트,21,50,104
546,Martinique on a Budget,마르티니크의 예산,Alcohol,주류,3 - 9,7 - 20,13 - 39
547,Fort-de-France on a Budget,포트-프랑스의 예산,Accommodation,숙박,40,92,176
547,Fort-de-France on a Budget,포트-프랑스의 예산,Local Transportation,지역 교통,8,18,35
547,Fort-de-France on a Budget,포트-프랑스의 예산,Food,음식,51,117,224
547,Fort-de-France on a Budget,포트-프랑스의 예산,Entertainment,엔터테인먼트,16,36,69
547,Fort-de-France on a Budget,포트-프랑스의 예산,Alcohol,주류,3 - 8,6 - 18,11 - 34
548,Mauritania on a Budget,모리타니의 예산,Accommodation,숙박,0.00,0.00,0.00
548,Mauritania on a Budget,모리타니의 예산,Local Transportation,지역 교통,0.00,0.00,0.00
548,Mauritania on a Budget,모리타니의 예산,Food,음식,0.00,0.00,0.00
549,Mexico on a Budget,멕시코의 예산,Accommodation,숙박,17,46,134
549,Mexico on a Budget,멕시코의 예산,Local Transportation,지역 교통,6.70,18,55
549,Mexico on a Budget,멕시코의 예산,Food,음식,17,45,126
549,Mexico on a Budget,멕시코의 예산,Entertainment,엔터테인먼트,8.05,23,74
549,Mexico on a Budget,멕시코의 예산,Alcohol,주류,3 - 9,8 - 24,23 - 70
550,Acapulco de Juarez on a Budget,아카풀코 데 후아레스의 예산,Accommodation,숙박,15,35,66
550,Acapulco de Juarez on a Budget,아카풀코 데 후아레스의 예산,Local Transportation,지역 교통,6,15,38
550,Acapulco de Juarez on a Budget,아카풀코 데 후아레스의 예산,Food,음식,18,44,103
550,Acapulco de Juarez on a Budget,아카풀코 데 후아레스의 예산,Entertainment,엔터테인먼트,7,16,32
550,Acapulco de Juarez on a Budget,아카풀코 데 후아레스의 예산,Alcohol,주류,2 - 6,5 - 15,12 - 37
551,Cabo San Lucas on a Budget,카보 산 루카스의 예산,Accommodation,숙박,22,57,148
551,Cabo San Lucas on a Budget,카보 산 루카스의 예산,Local Transportation,지역 교통,9,25,71
551,Cabo San Lucas on a Budget,카보 산 루카스의 예산,Food,음식,31,78,198
551,Cabo San Lucas on a Budget,카보 산 루카스의 예산,Entertainment,엔터테인먼트,16,38,88
551,Cabo San Lucas on a Budget,카보 산 루카스의 예산,Alcohol,주류,5 - 14,13 - 38,35 - 104
552,Cancun on a Budget,칸쿤의 예산,Accommodation,숙박,34,87,234
552,Cancun on a Budget,칸쿤의 예산,Local Transportation,지역 교통,6,16,46
552,Cancun on a Budget,칸쿤의 예산,Food,음식,16,44,138
552,Cancun on a Budget,칸쿤의 예산,Entertainment,엔터테인먼트,12,32,84
552,Cancun on a Budget,칸쿤의 예산,Alcohol,주류,2 - 6,6 - 18,19 - 57
553,Cozumel on a Budget,코즈멜의 예산,Accommodation,숙박,23,63,189
553,Cozumel on a Budget,코즈멜의 예산,Local Transportation,지역 교통,9,21,47
553,Cozumel on a Budget,코즈멜의 예산,Food,음식,14,37,94
553,Cozumel on a Budget,코즈멜의 예산,Entertainment,엔터테인먼트,17,39,81
553,Cozumel on a Budget,코즈멜의 예산,Alcohol,주류,2 - 6,5 - 15,15 - 45
554,Ensenada on a Budget,엔세나다의 예산,Accommodation,숙박,18,42,89
554,Ensenada on a Budget,엔세나다의 예산,Local Transportation,지역 교통,7,18,50
554,Ensenada on a Budget,엔세나다의 예산,Food,음식,23,60,163
554,Ensenada on a Budget,엔세나다의 예산,Entertainment,엔터테인먼트,4,10,25
554,Ensenada on a Budget,엔세나다의 예산,Alcohol,주류,2 - 6,5 - 15,13 - 39
555,Guadalajara on a Budget,과달라하라의 예산,Accommodation,숙박,16,38,73
555,Guadalajara on a Budget,과달라하라의 예산,Local Transportation,지역 교통,15,35,67
555,Guadalajara on a Budget,과달라하라의 예산,Food,음식,31,74,156
555,Guadalajara on a Budget,과달라하라의 예산,Entertainment,엔터테인먼트,11,25,47
555,Guadalajara on a Budget,과달라하라의 예산,Alcohol,주류,3 - 10,8 - 24,15 - 45
556,Isla Mujeres on a Budget,이슬라 여성의 예산,Accommodation,숙박,27,70,180
556,Isla Mujeres on a Budget,이슬라 여성의 예산,Local Transportation,지역 교통,11,31,92
556,Isla Mujeres on a Budget,이슬라 여성의 예산,Food,음식,27,71,196
556,Isla Mujeres on a Budget,이슬라 여성의 예산,Entertainment,엔터테인먼트,8,18,42
556,Isla Mujeres on a Budget,이슬라 여성의 예산,Alcohol,주류,4 - 13,11 - 34,29 - 88
557,La Paz on a Budget,라파스의 예산,Accommodation,숙박,20,46,97
557,La Paz on a Budget,라파스의 예산,Local Transportation,지역 교통,8,20,46
557,La Paz on a Budget,라파스의 예산,Food,음식,24,59,147
557,La Paz on a Budget,라파스의 예산,Entertainment,엔터테인먼트,5,11,23
557,La Paz on a Budget,라파스의 예산,Alcohol,주류,2 - 6,6 - 17,15 - 45
558,Mazatlan on a Budget,마자 틀란의 예산,Accommodation,숙박,12,29,68
558,Mazatlan on a Budget,마자 틀란의 예산,Local Transportation,지역 교통,7,18,48
558,Mazatlan on a Budget,마자 틀란의 예산,Food,음식,21,53,129
558,Mazatlan on a Budget,마자 틀란의 예산,Entertainment,엔터테인먼트,4,9,17
558,Mazatlan on a Budget,마자 틀란의 예산,Alcohol,주류,3 - 9,8 - 24,22 - 66
559,Merida on a Budget,메리다의 예산,Accommodation,숙박,15,40,110
559,Merida on a Budget,메리다의 예산,Local Transportation,지역 교통,6,16,48
559,Merida on a Budget,메리다의 예산,Food,음식,18,45,119
559,Merida on a Budget,메리다의 예산,Entertainment,엔터테인먼트,6,14,37
559,Merida on a Budget,메리다의 예산,Alcohol,주류,3 - 8,7 - 21,18 - 54
560,Mexico City on a Budget,멕시코 시티의 예산,Accommodation,숙박,15,38,101
560,Mexico City on a Budget,멕시코 시티의 예산,Local Transportation,지역 교통,4,12,32
560,Mexico City on a Budget,멕시코 시티의 예산,Food,음식,16,42,125
560,Mexico City on a Budget,멕시코 시티의 예산,Entertainment,엔터테인먼트,6,14,32
560,Mexico City on a Budget,멕시코 시티의 예산,Alcohol,주류,4 - 11,9 - 28,24 - 71
561,Oaxaca de Juarez on a Budget,오악 사카 드 후아레스의 예산,Accommodation,숙박,7,18,49
561,Oaxaca de Juarez on a Budget,오악 사카 드 후아레스의 예산,Local Transportation,지역 교통,4,11,33
561,Oaxaca de Juarez on a Budget,오악 사카 드 후아레스의 예산,Food,음식,9,22,50
561,Oaxaca de Juarez on a Budget,오악 사카 드 후아레스의 예산,Entertainment,엔터테인먼트,4,11,32
561,Oaxaca de Juarez on a Budget,오악 사카 드 후아레스의 예산,Alcohol,주류,3 - 8,7 - 20,16 - 49
562,Playa del Carmen on a Budget,플라야 델 카르멘의 예산,Accommodation,숙박,14,35,94
562,Playa del Carmen on a Budget,플라야 델 카르멘의 예산,Local Transportation,지역 교통,8,21,62
562,Playa del Carmen on a Budget,플라야 델 카르멘의 예산,Food,음식,15,36,84
562,Playa del Carmen on a Budget,플라야 델 카르멘의 예산,Entertainment,엔터테인먼트,6,15,41
562,Playa del Carmen on a Budget,플라야 델 카르멘의 예산,Alcohol,주류,4 - 11,9 - 28,26 - 78
563,Puerto Vallarta on a Budget,푸에르토 발라 타의 예산,Accommodation,숙박,23,57,136
563,Puerto Vallarta on a Budget,푸에르토 발라 타의 예산,Local Transportation,지역 교통,7,17,45
563,Puerto Vallarta on a Budget,푸에르토 발라 타의 예산,Food,음식,23,57,144
563,Puerto Vallarta on a Budget,푸에르토 발라 타의 예산,Entertainment,엔터테인먼트,7,17,38
563,Puerto Vallarta on a Budget,푸에르토 발라 타의 예산,Alcohol,주류,4 - 12,11 - 32,30 - 91
564,San Cristobal de Las Casas on a Budget,산크리스토발데라스카사스의 예산,Accommodation,숙박,15,42,122
564,San Cristobal de Las Casas on a Budget,산크리스토발데라스카사스의 예산,Local Transportation,지역 교통,11,29,71
564,San Cristobal de Las Casas on a Budget,산크리스토발데라스카사스의 예산,Food,음식,15,36,81
564,San Cristobal de Las Casas on a Budget,산크리스토발데라스카사스의 예산,Entertainment,엔터테인먼트,5,13,31
564,San Cristobal de Las Casas on a Budget,산크리스토발데라스카사스의 예산,Alcohol,주류,6 - 17,13 - 40,28 - 83
565,Tulum on a Budget,툴룸의 예산,Accommodation,숙박,19,53,161
565,Tulum on a Budget,툴룸의 예산,Local Transportation,지역 교통,10,25,69
565,Tulum on a Budget,툴룸의 예산,Food,음식,20,53,143
565,Tulum on a Budget,툴룸의 예산,Entertainment,엔터테인먼트,11,28,80
565,Tulum on a Budget,툴룸의 예산,Alcohol,주류,4 - 13,11 - 34,33 - 98
566,Veracruz on a Budget,베라 크루즈의 예산,Accommodation,숙박,20,49,111
566,Veracruz on a Budget,베라 크루즈의 예산,Local Transportation,지역 교통,11,25,49
566,Veracruz on a Budget,베라 크루즈의 예산,Food,음식,31,77,187
566,Veracruz on a Budget,베라 크루즈의 예산,Entertainment,엔터테인먼트,6,13,26
566,Veracruz on a Budget,베라 크루즈의 예산,Alcohol,주류,3 - 10,8 - 23,17 - 52
567,Micronesia on a Budget,미크로네시아의 예산,Accommodation,숙박,55,126,240
567,Micronesia on a Budget,미크로네시아의 예산,Local Transportation,지역 교통,13,30,57
567,Micronesia on a Budget,미크로네시아의 예산,Food,음식,32,74,142
567,Micronesia on a Budget,미크로네시아의 예산,Entertainment,엔터테인먼트,12,26,51
